away_goals,year,home_behinds,home_goals,away_behinds,away_team,home_team,venue,home_score,away_score,roundname,winner
11,2015,9,7,11,North Melbourne,Sydney,Stadium Australia,51,77,Semi-Final,North Melbourne
15,2015,7,10,4,Hawthorn,Fremantle,Subiaco,67,94,Preliminary Final,Hawthorn
7,2015,20,10,13,North Melbourne,West Coast,Subiaco,80,55,Preliminary Final,West Coast
8,2015,11,16,13,West Coast,Hawthorn,M.C.G.,107,61,Grand Final,Hawthorn
9,2018,17,13,10,Hawthorn,Richmond,M.C.G.,95,64,Qualifying Final,Richmond
6,2018,15,10,10,Geelong,Melbourne,M.C.G.,75,46,Elimination Final,Melbourne
10,2018,6,4,19,Greater Western Sydney,Sydney,S.C.G.,30,79,Elimination Final,Greater Western Sydney
10,2018,14,12,10,Collingwood,West Coast,Perth Stadium,86,70,Qualifying Final,West Coast
16,2018,11,10,8,Melbourne,Hawthorn,M.C.G.,71,104,Semi-Final,Melbourne
9,2018,15,9,5,Greater Western Sydney,Collingwood,M.C.G.,69,59,Semi-Final,Collingwood
15,2018,10,8,7,Collingwood,Richmond,M.C.G.,58,97,Preliminary Final,Collingwood
7,2018,13,18,13,Melbourne,West Coast,Perth Stadium,121,55,Preliminary Final,West Coast
11,2018,13,11,8,Collingwood,West Coast,M.C.G.,79,74,Grand Final,West Coast
14,2019,10,9,13,Richmond,Carlton,M.C.G.,64,97,Round 1,Richmond
10,2019,11,9,12,Geelong,Collingwood,M.C.G.,65,72,Round 1,Geelong
12,2019,7,9,15,Port Adelaide,Melbourne,M.C.G.,61,87,Round 1,Port Adelaide
12,2019,13,7,15,Hawthorn,Adelaide,Adelaide Oval,55,87,Round 1,Hawthorn
9,2019,16,11,11,Sydney,Western Bulldogs,Marvel Stadium,82,65,Round 1,Western Bulldogs
8,2019,12,15,10,West Coast,Brisbane Lions,Gabba,102,58,Round 1,Brisbane Lions
13,2019,7,13,6,Gold Coast,St Kilda,Marvel Stadium,85,84,Round 1,St Kilda
5,2019,16,16,10,Essendon,Greater Western Sydney,Sydney Showground,112,40,Round 1,Greater Western Sydney
9,2019,15,21,5,North Melbourne,Fremantle,Perth Stadium,141,59,Round 1,Fremantle
17,2019,6,10,8,Collingwood,Richmond,M.C.G.,66,110,Round 2,Collingwood
12,2019,14,8,16,Adelaide,Sydney,S.C.G.,62,88,Round 2,Adelaide
10,2019,11,9,16,St Kilda,Essendon,Marvel Stadium,65,76,Round 2,St Kilda
11,2019,10,13,6,Carlton,Port Adelaide,Adelaide Oval,88,72,Round 2,Port Adelaide
6,2019,6,20,10,Melbourne,Geelong,Kardinia Park,126,46,Round 2,Geelong
7,2019,8,16,10,Greater Western Sydney,West Coast,Perth Stadium,104,52,Round 2,West Coast
16,2019,9,13,11,Brisbane Lions,North Melbourne,Marvel Stadium,87,107,Round 2,Brisbane Lions
16,2019,9,13,10,Western Bulldogs,Hawthorn,M.C.G.,87,106,Round 2,Western Bulldogs
8,2019,19,7,10,Fremantle,Gold Coast,Carrara,61,58,Round 2,Gold Coast
14,2019,15,10,15,Geelong,Adelaide,Adelaide Oval,75,99,Round 3,Geelong
20,2019,4,18,10,Essendon,Melbourne,M.C.G.,112,130,Round 3,Essendon
14,2019,14,10,9,Sydney,Carlton,Marvel Stadium,74,93,Round 3,Sydney
10,2019,11,19,16,Richmond,Greater Western Sydney,Sydney Showground,125,76,Round 3,Greater Western Sydney
13,2019,11,16,12,Port Adelaide,Brisbane Lions,Gabba,107,90,Round 3,Brisbane Lions
15,2019,10,11,8,West Coast,Collingwood,M.C.G.,76,98,Round 3,West Coast
10,2019,14,9,13,Gold Coast,Western Bulldogs,Marvel Stadium,68,73,Round 3,Gold Coast
10,2019,9,13,11,North Melbourne,Hawthorn,M.C.G.,87,71,Round 3,Hawthorn
9,2019,5,11,12,St Kilda,Fremantle,Perth Stadium,71,66,Round 3,Fremantle
15,2019,12,11,10,Melbourne,Sydney,S.C.G.,78,100,Round 4,Melbourne
9,2019,12,11,10,Western Bulldogs,Collingwood,M.C.G.,78,64,Round 4,Collingwood
11,2019,9,11,13,Greater Western Sydney,Geelong,Kardinia Park,75,79,Round 4,Greater Western Sydney
9,2019,10,17,11,Brisbane Lions,Essendon,M.C.G.,112,65,Round 4,Essendon
15,2019,8,14,9,Richmond,Port Adelaide,Adelaide Oval,92,99,Round 4,Richmond
8,2019,17,9,11,Adelaide,North Melbourne,Marvel Stadium,71,59,Round 4,North Melbourne
7,2019,9,10,14,Fremantle,West Coast,Perth Stadium,69,56,Round 4,West Coast
8,2019,11,8,9,Carlton,Gold Coast,Carrara,59,57,Round 4,Gold Coast
10,2019,14,10,9,Hawthorn,St Kilda,Marvel Stadium,74,69,Round 4,St Kilda
18,2019,13,8,15,Collingwood,Brisbane Lions,Gabba,61,123,Round 5,Collingwood
17,2019,16,7,14,Essendon,North Melbourne,Marvel Stadium,58,116,Round 5,Essendon
13,2019,5,8,17,Port Adelaide,West Coast,Perth Stadium,53,95,Round 5,Port Adelaide
16,2019,16,11,10,Fremantle,Greater Western Sydney,Manuka Oval,82,106,Round 5,Fremantle
15,2019,13,7,5,St Kilda,Melbourne,M.C.G.,55,95,Round 5,St Kilda
10,2019,11,13,7,Sydney,Richmond,Marvel Stadium,89,67,Round 5,Richmond
15,2019,15,7,11,Carlton,Western Bulldogs,Marvel Stadium,57,101,Round 5,Carlton
6,2019,11,18,10,Gold Coast,Adelaide,Adelaide Oval,119,46,Round 5,Adelaide
17,2019,12,13,11,Geelong,Hawthorn,M.C.G.,90,113,Round 5,Geelong
6,2019,13,12,6,Melbourne,Richmond,M.C.G.,85,42,Round 6,Richmond
10,2019,9,10,13,Collingwood,Essendon,M.C.G.,69,73,Round 6,Collingwood
11,2019,16,12,6,North Melbourne,Port Adelaide,Adelaide Oval,88,72,Round 6,Port Adelaide
16,2019,8,9,15,Brisbane Lions,Gold Coast,Carrara,62,111,Round 6,Brisbane Lions
15,2019,8,10,7,Adelaide,St Kilda,Marvel Stadium,68,97,Round 6,Adelaide
18,2019,7,12,12,Greater Western Sydney,Sydney,S.C.G.,79,120,Round 6,Greater Western Sydney
9,2019,10,13,15,Western Bulldogs,Fremantle,Perth Stadium,88,69,Round 6,Fremantle
13,2019,15,13,10,Carlton,Hawthorn,York Park,93,88,Round 6,Hawthorn
7,2019,14,15,4,West Coast,Geelong,Kardinia Park,104,46,Round 6,Geelong
10,2019,18,15,9,Port Adelaide,Collingwood,Marvel Stadium,108,69,Round 7,Collingwood
11,2019,13,11,8,Hawthorn,Melbourne,M.C.G.,79,74,Round 7,Melbourne
10,2019,6,18,10,St Kilda,Greater Western Sydney,Manuka Oval,114,70,Round 7,Greater Western Sydney
12,2019,19,14,9,Sydney,Brisbane Lions,Gabba,103,81,Round 7,Brisbane Lions
7,2019,9,15,10,Richmond,Western Bulldogs,Marvel Stadium,99,52,Round 7,Western Bulldogs
8,2019,14,11,9,Gold Coast,West Coast,Perth Stadium,80,57,Round 7,West Coast
18,2019,14,8,12,North Melbourne,Carlton,Marvel Stadium,62,120,Round 7,North Melbourne
7,2019,8,13,12,Essendon,Geelong,M.C.G.,86,54,Round 7,Geelong
5,2019,9,7,4,Fremantle,Adelaide,Adelaide Oval,51,34,Round 7,Adelaide
10,2019,11,11,12,Essendon,Sydney,S.C.G.,77,72,Round 8,Sydney
11,2019,14,13,10,Brisbane Lions,Western Bulldogs,Eureka Stadium,92,76,Round 8,Western Bulldogs
16,2019,9,13,10,Collingwood,Carlton,M.C.G.,87,106,Round 8,Collingwood
8,2019,6,9,13,Melbourne,Gold Coast,Carrara,60,61,Round 8,Melbourne
12,2019,10,10,16,West Coast,St Kilda,Marvel Stadium,70,88,Round 8,West Coast
13,2019,14,9,10,Adelaide,Port Adelaide,Adelaide Oval,68,88,Round 8,Adelaide
16,2019,14,11,8,Geelong,North Melbourne,Marvel Stadium,80,104,Round 8,Geelong
5,2019,11,10,8,Greater Western Sydney,Hawthorn,M.C.G.,71,38,Round 8,Hawthorn
17,2019,14,12,9,Richmond,Fremantle,Perth Stadium,86,111,Round 8,Richmond
9,2019,7,13,15,Melbourne,West Coast,Perth Stadium,85,69,Round 9,West Coast
10,2019,10,17,11,St Kilda,Collingwood,M.C.G.,112,71,Round 9,Collingwood
13,2019,15,13,14,Adelaide,Brisbane Lions,Gabba,93,92,Round 9,Brisbane Lions
13,2019,7,21,11,Western Bulldogs,Geelong,Kardinia Park,133,89,Round 9,Geelong
7,2019,12,8,11,Fremantle,Essendon,Marvel Stadium,60,53,Round 9,Essendon
11,2019,12,10,11,Sydney,North Melbourne,Bellerive Oval,72,77,Round 9,Sydney
7,2019,11,13,9,Gold Coast,Port Adelaide,Adelaide Oval,89,51,Round 9,Port Adelaide
8,2019,11,14,11,Hawthorn,Richmond,M.C.G.,95,59,Round 9,Richmond
7,2019,18,20,3,Carlton,Greater Western Sydney,Sydney Showground,138,45,Round 9,Greater Western Sydney
11,2019,7,11,14,Collingwood,Sydney,S.C.G.,73,80,Round 10,Collingwood
6,2019,8,12,13,Port Adelaide,Hawthorn,York Park,80,49,Round 10,Hawthorn
18,2019,12,13,7,North Melbourne,Western Bulldogs,Marvel Stadium,90,115,Round 10,North Melbourne
13,2019,13,10,7,West Coast,Adelaide,Adelaide Oval,73,85,Round 10,West Coast
13,2019,10,9,13,Geelong,Gold Coast,Carrara,64,91,Round 10,Geelong
6,2019,13,10,14,Essendon,Richmond,M.C.G.,73,50,Round 10,Richmond
14,2019,8,10,10,Greater Western Sydney,Melbourne,M.C.G.,68,94,Round 10,Greater Western Sydney
8,2019,14,9,7,Carlton,St Kilda,Marvel Stadium,68,55,Round 10,St Kilda
10,2019,13,10,12,Brisbane Lions,Fremantle,Perth Stadium,73,72,Round 10,Fremantle
9,2019,9,15,8,Richmond,North Melbourne,Marvel Stadium,99,62,Round 11,North Melbourne
11,2019,9,11,13,Fremantle,Collingwood,M.C.G.,75,79,Round 11,Fremantle
6,2019,12,19,7,Gold Coast,Greater Western Sydney,Sydney Showground,126,43,Round 11,Greater Western Sydney
8,2019,7,13,15,Sydney,Geelong,Kardinia Park,85,63,Round 11,Geelong
10,2019,13,12,6,Hawthorn,Brisbane Lions,Gabba,85,66,Round 11,Brisbane Lions
14,2019,16,12,6,Adelaide,Melbourne,Marrara Oval,88,90,Round 11,Adelaide
22,2019,15,9,7,Port Adelaide,St Kilda,Jiangwan Stadium,69,139,Round 11,Port Adelaide
4,2019,8,11,9,Carlton,Essendon,M.C.G.,74,33,Round 11,Essendon
10,2019,7,21,12,Western Bulldogs,West Coast,Perth Stadium,133,72,Round 11,West Coast
16,2019,7,5,8,Geelong,Richmond,M.C.G.,37,104,Round 12,Geelong
9,2019,12,11,9,Brisbane Lions,Carlton,Marvel Stadium,78,63,Round 12,Carlton
14,2019,6,11,15,North Melbourne,Gold Coast,Carrara,72,99,Round 12,North Melbourne
9,2019,10,12,7,Greater Western Sydney,Adelaide,Adelaide Oval,82,61,Round 12,Adelaide
10,2019,8,18,11,West Coast,Sydney,S.C.G.,116,71,Round 12,Sydney
7,2019,8,15,15,Melbourne,Collingwood,M.C.G.,98,57,Round 12,Collingwood
9,2019,11,15,14,Richmond,Adelaide,Adelaide Oval,101,68,Round 13,Adelaide
11,2019,12,14,11,Hawthorn,Essendon,Marvel Stadium,96,77,Round 13,Essendon
11,2019,10,11,14,St Kilda,Gold Coast,Riverway Stadium,76,80,Round 13,St Kilda
12,2019,10,15,7,Port Adelaide,Fremantle,Perth Stadium,100,79,Round 13,Fremantle
15,2019,10,15,13,Western Bulldogs,Carlton,Marvel Stadium,100,103,Round 13,Western Bulldogs
14,2019,8,10,7,Greater Western Sydney,North Melbourne,Bellerive Oval,68,91,Round 13,Greater Western Sydney
11,2019,22,14,5,Essendon,West Coast,Perth Stadium,106,71,Round 14,West Coast
9,2019,10,12,9,Hawthorn,Sydney,S.C.G.,82,63,Round 14,Sydney
11,2019,7,13,5,Fremantle,Melbourne,M.C.G.,85,71,Round 14,Melbourne
17,2019,11,8,13,Brisbane Lions,St Kilda,Marvel Stadium,59,115,Round 14,Brisbane Lions
8,2019,13,9,8,Geelong,Port Adelaide,Adelaide Oval,67,56,Round 14,Port Adelaide
13,2019,13,10,4,Collingwood,Western Bulldogs,Marvel Stadium,73,82,Round 14,Collingwood
10,2019,5,12,11,Greater Western Sydney,Essendon,Marvel Stadium,77,71,Round 15,Essendon
10,2019,12,14,9,Adelaide,Geelong,Kardinia Park,96,69,Round 15,Geelong
11,2019,17,9,11,West Coast,Hawthorn,M.C.G.,71,77,Round 15,West Coast
7,2019,9,14,9,Gold Coast,Sydney,S.C.G.,93,51,Round 15,Sydney
11,2019,7,5,15,North Melbourne,Collingwood,Marvel Stadium,37,81,Round 15,North Melbourne
10,2019,11,5,6,Western Bulldogs,Port Adelaide,Adelaide Oval,41,66,Round 15,Western Bulldogs
16,2019,10,10,7,Richmond,St Kilda,Marvel Stadium,70,103,Round 15,Richmond
11,2019,17,15,8,Melbourne,Brisbane Lions,Gabba,107,74,Round 15,Brisbane Lions
11,2019,9,11,13,Carlton,Fremantle,Perth Stadium,75,79,Round 15,Carlton
9,2019,13,9,9,Collingwood,Hawthorn,M.C.G.,67,63,Round 16,Hawthorn
9,2019,10,11,12,Sydney,Essendon,M.C.G.,76,66,Round 16,Essendon
23,2019,4,9,12,Richmond,Gold Coast,Carrara,58,150,Round 16,Richmond
15,2019,14,5,11,Port Adelaide,Adelaide,Adelaide Oval,44,101,Round 16,Port Adelaide
7,2019,11,10,13,Geelong,Western Bulldogs,Marvel Stadium,71,55,Round 16,Western Bulldogs
19,2019,19,2,8,West Coast,Fremantle,Perth Stadium,31,122,Round 16,West Coast
15,2019,10,15,15,Melbourne,Carlton,M.C.G.,100,105,Round 16,Melbourne
11,2019,10,17,7,St Kilda,North Melbourne,Bellerive Oval,112,73,Round 16,North Melbourne
14,2019,8,11,10,Brisbane Lions,Greater Western Sydney,Sydney Showground,74,94,Round 16,Brisbane Lions
11,2019,5,12,12,Collingwood,West Coast,Perth Stadium,77,78,Round 17,Collingwood
9,2019,14,8,15,Carlton,Sydney,S.C.G.,62,69,Round 17,Carlton
8,2019,12,12,5,Fremantle,Hawthorn,York Park,84,53,Round 17,Hawthorn
12,2019,14,12,9,North Melbourne,Essendon,Marvel Stadium,86,81,Round 17,Essendon
23,2019,8,8,13,Adelaide,Gold Coast,Carrara,56,151,Round 17,Adelaide
8,2019,12,12,9,St Kilda,Geelong,Kardinia Park,84,57,Round 17,Geelong
9,2019,16,13,13,Greater Western Sydney,Richmond,M.C.G.,94,67,Round 17,Richmond
9,2019,14,10,12,Melbourne,Western Bulldogs,Marvel Stadium,74,66,Round 17,Western Bulldogs
14,2019,13,6,13,Brisbane Lions,Port Adelaide,Adelaide Oval,49,97,Round 17,Brisbane Lions
15,2019,15,10,6,Essendon,Adelaide,Adelaide Oval,75,96,Round 18,Essendon
9,2019,11,15,9,Port Adelaide,Richmond,M.C.G.,101,63,Round 18,Richmond
11,2019,9,15,9,Gold Coast,Carlton,Marvel Stadium,99,75,Round 18,Carlton
11,2019,8,19,9,Collingwood,Greater Western Sydney,Sydney Showground,122,75,Round 18,Greater Western Sydney
12,2019,15,12,3,North Melbourne,Brisbane Lions,Gabba,87,75,Round 18,Brisbane Lions
7,2019,10,7,9,Sydney,Fremantle,Perth Stadium,52,51,Round 18,Fremantle
12,2019,13,8,13,Hawthorn,Geelong,M.C.G.,61,85,Round 18,Hawthorn
14,2019,12,11,7,West Coast,Melbourne,Traeger Park,78,91,Round 18,West Coast
14,2019,14,17,5,Western Bulldogs,St Kilda,Marvel Stadium,116,89,Round 18,St Kilda
14,2019,12,9,14,Richmond,Collingwood,M.C.G.,66,98,Round 19,Richmond
13,2019,18,7,9,Brisbane Lions,Hawthorn,York Park,60,87,Round 19,Brisbane Lions
9,2019,9,13,6,Adelaide,Carlton,M.C.G.,87,60,Round 19,Carlton
10,2019,13,18,12,North Melbourne,West Coast,Perth Stadium,121,72,Round 19,West Coast
13,2019,14,15,7,Melbourne,St Kilda,Marvel Stadium,104,85,Round 19,St Kilda
8,2019,13,7,8,Greater Western Sydney,Port Adelaide,Adelaide Oval,55,56,Round 19,Greater Western Sydney
9,2019,17,16,12,Fremantle,Western Bulldogs,Marvel Stadium,113,66,Round 19,Western Bulldogs
16,2019,8,12,11,Geelong,Sydney,S.C.G.,80,107,Round 19,Geelong
16,2019,6,15,10,Essendon,Gold Coast,Carrara,96,106,Round 19,Essendon
9,2019,14,12,10,Hawthorn,North Melbourne,Marvel Stadium,86,64,Round 20,North Melbourne
19,2019,13,9,12,Port Adelaide,Essendon,Marvel Stadium,67,126,Round 20,Port Adelaide
12,2019,11,12,9,Sydney,Greater Western Sydney,Sydney Showground,83,81,Round 20,Greater Western Sydney
9,2019,11,14,7,Geelong,Fremantle,Perth Stadium,95,61,Round 20,Fremantle
13,2019,6,9,15,Richmond,Melbourne,M.C.G.,60,93,Round 20,Richmond
10,2019,8,14,10,St Kilda,Adelaide,Adelaide Oval,92,70,Round 20,Adelaide
8,2019,12,18,3,Gold Coast,Collingwood,M.C.G.,120,51,Round 20,Collingwood
15,2019,9,11,9,West Coast,Carlton,Marvel Stadium,75,99,Round 20,West Coast
11,2019,14,14,14,Western Bulldogs,Brisbane Lions,Gabba,98,80,Round 20,Brisbane Lions
13,2019,5,4,7,Hawthorn,Greater Western Sydney,Manuka Oval,29,85,Round 21,Hawthorn
10,2019,11,7,10,Collingwood,Melbourne,M.C.G.,53,70,Round 21,Collingwood
7,2019,13,15,14,Sydney,Port Adelaide,Adelaide Oval,103,56,Round 21,Port Adelaide
8,2019,12,22,5,Gold Coast,Brisbane Lions,Gabba,144,53,Round 21,Brisbane Lions
21,2019,9,4,11,Western Bulldogs,Essendon,Marvel Stadium,33,137,Round 21,Western Bulldogs
1,2019,15,9,8,North Melbourne,Geelong,Kardinia Park,69,14,Round 21,Geelong
10,2019,12,10,9,Fremantle,St Kilda,Marvel Stadium,72,69,Round 21,St Kilda
6,2019,7,11,9,Carlton,Richmond,M.C.G.,73,45,Round 21,Richmond
12,2019,12,13,8,Adelaide,West Coast,Perth Stadium,90,80,Round 21,West Coast
15,2019,12,5,5,Sydney,Melbourne,M.C.G.,42,95,Round 22,Sydney
10,2019,12,11,8,St Kilda,Carlton,M.C.G.,78,68,Round 22,Carlton
10,2019,15,10,14,Geelong,Brisbane Lions,Gabba,75,74,Round 22,Brisbane Lions
17,2019,12,6,12,Collingwood,Adelaide,Adelaide Oval,48,114,Round 22,Collingwood
8,2019,12,22,10,Port Adelaide,North Melbourne,Marvel Stadium,144,58,Round 22,North Melbourne
13,2019,13,7,9,Essendon,Fremantle,Perth Stadium,55,87,Round 22,Essendon
13,2019,10,13,4,West Coast,Richmond,M.C.G.,88,82,Round 22,Richmond
19,2019,11,9,12,Western Bulldogs,Greater Western Sydney,Sydney Showground,65,126,Round 22,Western Bulldogs
7,2019,10,18,6,Gold Coast,Hawthorn,Marvel Stadium,118,48,Round 22,Hawthorn
8,2019,10,12,7,Brisbane Lions,Richmond,M.C.G.,82,55,Round 23,Richmond
16,2019,13,9,9,Hawthorn,West Coast,Perth Stadium,67,105,Round 23,Hawthorn
12,2019,10,13,11,Melbourne,North Melbourne,Bellerive Oval,88,83,Round 23,North Melbourne
20,2019,13,7,7,Greater Western Sydney,Gold Coast,Carrara,55,127,Round 23,Greater Western Sydney
10,2019,20,15,7,Fremantle,Port Adelaide,Adelaide Oval,110,67,Round 23,Port Adelaide
8,2019,15,19,13,Carlton,Geelong,Kardinia Park,129,61,Round 23,Geelong
10,2019,16,10,5,Essendon,Collingwood,M.C.G.,76,65,Round 23,Collingwood
13,2019,13,18,9,Adelaide,Western Bulldogs,Eureka Stadium,121,87,Round 23,Western Bulldogs
8,2019,7,17,16,St Kilda,Sydney,S.C.G.,109,64,Round 23,Sydney
9,2019,14,17,7,Essendon,West Coast,Perth Stadium,116,61,Elimination Final,West Coast
9,2019,9,7,7,Collingwood,Geelong,M.C.G.,51,61,Qualifying Final,Collingwood
8,2019,17,16,7,Western Bulldogs,Greater Western Sydney,Sydney Showground,113,55,Elimination Final,Greater Western Sydney
18,2019,17,8,4,Richmond,Brisbane Lions,Gabba,65,112,Qualifying Final,Richmond
10,2019,10,13,8,West Coast,Geelong,M.C.G.,88,68,Semi-Final,Geelong
12,2019,14,11,11,Greater Western Sydney,Brisbane Lions,Gabba,80,83,Semi-Final,Greater Western Sydney
9,2019,13,12,12,Geelong,Richmond,M.C.G.,85,66,Preliminary Final,Richmond
8,2019,10,7,8,Greater Western Sydney,Collingwood,M.C.G.,52,56,Preliminary Final,Greater Western Sydney
3,2019,12,17,7,Greater Western Sydney,Richmond,M.C.G.,114,25,Grand Final,Richmond
12,2020,9,16,9,Carlton,Richmond,M.C.G.,105,81,Round 1,Richmond
13,2020,4,5,8,Collingwood,Western Bulldogs,Docklands,34,86,Round 1,Collingwood
8,2020,9,9,9,Fremantle,Essendon,Docklands,63,57,Round 1,Essendon
11,2020,5,11,8,Sydney,Adelaide,Adelaide Oval,71,74,Round 1,Sydney
11,2020,3,17,7,Geelong,Greater Western Sydney,Sydney Showground,105,73,Round 1,Greater Western Sydney
10,2020,5,4,16,Port Adelaide,Gold Coast,Carrara,29,76,Round 1,Port Adelaide
7,2020,8,8,12,St Kilda,North Melbourne,Docklands,56,54,Round 1,North Melbourne
9,2020,6,14,8,Brisbane Lions,Hawthorn,M.C.G.,90,62,Round 1,Hawthorn
7,2020,6,12,9,Melbourne,West Coast,Perth Stadium,78,51,Round 1,West Coast
5,2020,6,5,6,Richmond,Collingwood,M.C.G.,36,36,Round 2,
7,2020,6,17,5,Hawthorn,Geelong,Kardinia Park,108,47,Round 2,Geelong
10,2020,9,12,9,Fremantle,Brisbane Lions,Gabba,81,69,Round 2,Brisbane Lions
8,2020,11,7,6,Melbourne,Carlton,Docklands,53,54,Round 2,Melbourne
6,2020,6,14,10,West Coast,Gold Coast,Carrara,90,46,Round 2,Gold Coast
5,2020,8,17,5,Adelaide,Port Adelaide,Adelaide Oval,110,35,Round 2,Port Adelaide
12,2020,12,8,8,North Melbourne,Greater Western Sydney,Sydney Showground,60,80,Round 2,North Melbourne
12,2020,7,11,7,Essendon,Sydney,S.C.G.,73,79,Round 2,Essendon
7,2020,4,14,7,Western Bulldogs,St Kilda,Docklands,88,49,Round 2,St Kilda
11,2020,9,5,5,Hawthorn,Richmond,M.C.G.,39,71,Round 3,Hawthorn
4,2020,9,8,9,Greater Western Sydney,Western Bulldogs,Docklands,57,33,Round 3,Western Bulldogs
10,2020,12,8,11,Sydney,North Melbourne,Docklands,60,71,Round 3,Sydney
5,2020,9,12,7,St Kilda,Collingwood,M.C.G.,81,37,Round 3,Collingwood
6,2020,14,10,8,West Coast,Brisbane Lions,Gabba,74,44,Round 3,Brisbane Lions
12,2020,11,11,7,Carlton,Geelong,Kardinia Park,77,79,Round 3,Carlton
4,2020,10,12,5,Adelaide,Gold Coast,Carrara,82,29,Round 3,Gold Coast
10,2020,5,6,10,Port Adelaide,Fremantle,Carrara,41,70,Round 3,Port Adelaide
10,2020,9,5,7,Western Bulldogs,Sydney,S.C.G.,39,67,Round 4,Western Bulldogs
9,2020,6,10,10,Collingwood,Greater Western Sydney,Sydney Showground,66,64,Round 4,Greater Western Sydney
6,2020,11,13,5,West Coast,Port Adelaide,Carrara,89,41,Round 4,Port Adelaide
10,2020,3,15,7,Richmond,St Kilda,Docklands,93,67,Round 4,St Kilda
7,2020,3,8,10,Carlton,Essendon,M.C.G.,51,52,Round 4,Carlton
8,2020,4,10,3,Fremantle,Gold Coast,Carrara,64,51,Round 4,Gold Coast
7,2020,23,10,4,Adelaide,Brisbane Lions,Gabba,83,46,Round 4,Brisbane Lions
7,2020,8,6,5,Geelong,Melbourne,M.C.G.,44,47,Round 4,Geelong
8,2020,10,8,6,North Melbourne,Hawthorn,Docklands,58,54,Round 4,Hawthorn
10,2020,6,7,3,Essendon,Collingwood,M.C.G.,48,63,Round 5,Essendon
11,2020,7,8,7,St Kilda,Carlton,Docklands,55,73,Round 5,St Kilda
8,2020,11,13,4,Gold Coast,Geelong,Kardinia Park,89,52,Round 5,Geelong
5,2020,9,13,8,North Melbourne,Western Bulldogs,Docklands,87,38,Round 5,Western Bulldogs
6,2020,13,12,12,Port Adelaide,Brisbane Lions,Gabba,85,48,Round 5,Brisbane Lions
8,2020,10,4,6,Fremantle,Adelaide,Carrara,34,54,Round 5,Fremantle
7,2020,5,13,7,Hawthorn,Greater Western Sydney,Sydney Showground,83,49,Round 5,Greater Western Sydney
6,2020,11,11,7,Sydney,West Coast,Carrara,77,43,Round 5,West Coast
12,2020,4,8,7,Richmond,Melbourne,M.C.G.,52,79,Round 5,Richmond
6,2020,7,11,10,Brisbane Lions,Geelong,S.C.G.,73,46,Round 6,Geelong
3,2020,11,8,9,Hawthorn,Collingwood,Sydney Showground,59,27,Round 6,Collingwood
11,2020,7,12,7,St Kilda,Fremantle,Carrara,79,73,Round 6,Fremantle
5,2020,7,10,4,Adelaide,West Coast,Gabba,67,34,Round 6,West Coast
9,2020,8,12,9,Gold Coast,Melbourne,Sydney Showground,80,63,Round 6,Melbourne
7,2020,13,9,11,North Melbourne,Essendon,Carrara,67,53,Round 6,Essendon
6,2020,9,9,10,Greater Western Sydney,Port Adelaide,Carrara,63,46,Round 6,Port Adelaide
3,2020,10,4,8,Sydney,Richmond,Gabba,34,26,Round 6,Richmond
7,2020,7,16,9,Western Bulldogs,Carlton,Carrara,103,51,Round 6,Carlton
8,2020,5,5,9,Collingwood,Geelong,Perth Stadium,35,57,Round 7,Collingwood
14,2020,9,7,9,Western Bulldogs,Essendon,Carrara,51,93,Round 7,Western Bulldogs
13,2020,8,10,10,Brisbane Lions,Greater Western Sydney,Sydney Showground,68,88,Round 7,Brisbane Lions
13,2020,6,9,14,Gold Coast,Sydney,S.C.G.,60,92,Round 7,Gold Coast
2,2020,11,11,11,North Melbourne,Richmond,Carrara,77,23,Round 7,Richmond
9,2020,7,9,10,Port Adelaide,Carlton,Gabba,61,64,Round 7,Port Adelaide
14,2020,6,7,7,Melbourne,Hawthorn,Sydney Showground,48,91,Round 7,Melbourne
9,2020,2,5,8,West Coast,Fremantle,Perth Stadium,32,62,Round 7,West Coast
12,2020,7,8,6,St Kilda,Adelaide,Adelaide Oval,55,78,Round 7,St Kilda
7,2020,10,6,9,Western Bulldogs,Gold Coast,Carrara,46,51,Round 8,Western Bulldogs
6,2020,8,9,14,Richmond,Greater Western Sydney,Sydney Showground,62,50,Round 8,Greater Western Sydney
9,2020,3,9,10,Carlton,North Melbourne,Gabba,57,64,Round 8,Carlton
7,2020,6,9,11,Hawthorn,Sydney,S.C.G.,60,53,Round 8,Sydney
12,2020,8,6,1,St Kilda,Port Adelaide,Adelaide Oval,44,73,Round 8,St Kilda
9,2020,11,8,8,Essendon,Adelaide,Adelaide Oval,59,62,Round 8,Essendon
6,2020,3,18,9,Collingwood,West Coast,Perth Stadium,111,45,Round 8,West Coast
7,2020,7,7,11,Brisbane Lions,Melbourne,Carrara,49,53,Round 8,Brisbane Lions
6,2020,4,2,12,Geelong,Fremantle,Perth Stadium,16,48,Round 8,Geelong
13,2020,7,7,12,Richmond,Western Bulldogs,Carrara,49,90,Round 9,Richmond
14,2020,4,9,5,Hawthorn,Carlton,Perth Stadium,58,89,Round 9,Hawthorn
12,2020,8,4,11,Port Adelaide,Melbourne,Gabba,32,83,Round 9,Port Adelaide
14,2020,10,3,7,Brisbane Lions,Essendon,Carrara,28,91,Round 9,Brisbane Lions
7,2020,5,19,8,Adelaide,North Melbourne,Carrara,119,50,Round 9,North Melbourne
