away_goals,year,home_behinds,home_goals,away_behinds,away_team,home_team,venue,home_score,away_score,roundname,winner
10,2014,8,15,12,St Kilda,Richmond,M.C.G.,98,72,Round 22,Richmond
18,2014,8,8,13,Hawthorn,Collingwood,M.C.G.,56,121,Round 23,Hawthorn
13,2014,6,14,12,Essendon,Carlton,M.C.G.,90,90,Round 23,
14,2014,9,16,13,Port Adelaide,Fremantle,Subiaco,105,97,Round 23,Fremantle
10,2014,11,9,8,Richmond,Sydney,Stadium Australia,65,68,Round 23,Richmond
12,2014,17,21,9,Brisbane Lions,Geelong,GMHBA Stadium,143,81,Round 23,Geelong
14,2014,9,19,9,Melbourne,North Melbourne,Docklands,123,93,Round 23,North Melbourne
23,2014,9,15,13,West Coast,Gold Coast,Carrara,99,151,Round 23,West Coast
9,2014,9,22,8,St Kilda,Adelaide,Adelaide Oval,141,62,Round 23,Adelaide
18,2014,19,15,7,Greater Western Sydney,Western Bulldogs,Docklands,109,115,Round 23,Greater Western Sydney
10,2014,14,15,8,Geelong,Hawthorn,M.C.G.,104,68,Qualifying Final,Hawthorn
10,2014,15,13,9,Fremantle,Sydney,Stadium Australia,93,69,Qualifying Final,Sydney
12,2014,9,14,9,Essendon,North Melbourne,M.C.G.,93,81,Elimination Final,North Melbourne
11,2014,12,20,9,Richmond,Port Adelaide,Adelaide Oval,132,75,Elimination Final,Port Adelaide
14,2014,14,13,14,North Melbourne,Geelong,M.C.G.,92,98,Semi-Final,North Melbourne
15,2014,17,11,15,Port Adelaide,Fremantle,Subiaco,83,105,Semi-Final,Port Adelaide
9,2014,22,19,11,North Melbourne,Sydney,Stadium Australia,136,65,Preliminary Final,Sydney
13,2014,7,15,16,Port Adelaide,Hawthorn,M.C.G.,97,94,Preliminary Final,Hawthorn
21,2014,8,11,11,Hawthorn,Sydney,M.C.G.,74,137,Grand Final,Hawthorn
15,2015,12,11,15,Richmond,Carlton,M.C.G.,78,105,Round 1,Richmond
13,2015,13,17,11,Gold Coast,Melbourne,M.C.G.,115,89,Round 1,Melbourne
9,2015,12,10,6,Essendon,Sydney,Stadium Australia,72,60,Round 1,Sydney
12,2015,8,11,14,Collingwood,Brisbane Lions,Gabba,74,86,Round 1,Collingwood
14,2015,13,14,3,West Coast,Western Bulldogs,Docklands,97,87,Round 1,Western Bulldogs
12,2015,12,11,15,Greater Western Sydney,St Kilda,Docklands,78,87,Round 1,Greater Western Sydney
9,2015,14,21,9,North Melbourne,Adelaide,Adelaide Oval,140,63,Round 1,Adelaide
10,2015,9,11,8,Port Adelaide,Fremantle,Subiaco,75,68,Round 1,Fremantle
8,2015,21,17,13,Geelong,Hawthorn,M.C.G.,123,61,Round 1,Hawthorn
9,2015,11,20,8,Carlton,West Coast,Subiaco,131,62,Round 2,West Coast
12,2015,12,9,13,Western Bulldogs,Richmond,M.C.G.,66,85,Round 2,Western Bulldogs
8,2015,11,15,8,Melbourne,Greater Western Sydney,UNSW Canberra Oval,101,56,Round 2,Greater Western Sydney
12,2015,9,9,18,Adelaide,Collingwood,Docklands,63,90,Round 2,Adelaide
16,2015,16,10,8,St Kilda,Gold Coast,Carrara,76,104,Round 2,St Kilda
14,2015,8,6,8,Sydney,Port Adelaide,Adelaide Oval,44,92,Round 2,Sydney
15,2015,6,9,14,Fremantle,Geelong,GMHBA Stadium,60,104,Round 2,Fremantle
11,2015,6,12,10,Hawthorn,Essendon,M.C.G.,78,76,Round 2,Essendon
7,2015,13,20,9,Brisbane Lions,North Melbourne,Docklands,133,51,Round 2,North Melbourne
10,2015,14,21,6,St Kilda,Collingwood,M.C.G.,140,66,Round 3,Collingwood
16,2015,18,11,9,Essendon,Carlton,M.C.G.,84,105,Round 3,Essendon
7,2015,8,12,13,Melbourne,Adelaide,Adelaide Oval,80,55,Round 3,Adelaide
12,2015,15,16,18,Greater Western Sydney,Sydney,S.C.G.,111,90,Round 3,Sydney
17,2015,9,16,11,Port Adelaide,North Melbourne,Docklands,105,113,Round 3,Port Adelaide
21,2015,10,8,11,Richmond,Brisbane Lions,Gabba,58,137,Round 3,Richmond
8,2015,13,19,9,Western Bulldogs,Hawthorn,University of Tasmania Stadium,127,57,Round 3,Hawthorn
13,2015,9,16,18,Gold Coast,Geelong,GMHBA Stadium,105,96,Round 3,Geelong
17,2015,9,12,9,Fremantle,West Coast,Subiaco,81,111,Round 3,Fremantle
12,2015,15,6,11,Melbourne,Richmond,M.C.G.,51,83,Round 4,Melbourne
18,2015,9,12,13,Carlton,St Kilda,Wellington,81,121,Round 4,Carlton
9,2015,13,6,15,Collingwood,Essendon,M.C.G.,49,69,Round 4,Collingwood
7,2015,23,16,11,Gold Coast,Greater Western Sydney,UNSW Canberra Oval,119,53,Round 4,Greater Western Sydney
13,2015,9,15,13,Hawthorn,Port Adelaide,Adelaide Oval,99,91,Round 4,Port Adelaide
8,2015,8,11,12,Sydney,Fremantle,Subiaco,74,60,Round 4,Fremantle
17,2015,11,9,16,West Coast,Brisbane Lions,Gabba,65,118,Round 4,West Coast
12,2015,13,9,11,North Melbourne,Geelong,GMHBA Stadium,67,83,Round 4,North Melbourne
10,2015,17,18,8,Adelaide,Western Bulldogs,Docklands,125,68,Round 4,Western Bulldogs
18,2015,9,6,12,Collingwood,Carlton,M.C.G.,45,120,Round 5,Collingwood
12,2015,10,11,13,Geelong,Richmond,M.C.G.,76,85,Round 5,Geelong
11,2015,13,10,11,Western Bulldogs,Sydney,S.C.G.,73,77,Round 5,Western Bulldogs
7,2015,10,18,12,Brisbane Lions,Gold Coast,Carrara,118,54,Round 5,Gold Coast
19,2015,10,10,16,Hawthorn,North Melbourne,Docklands,70,130,Round 5,Hawthorn
4,2015,12,18,9,Greater Western Sydney,West Coast,Subiaco,120,33,Round 5,West Coast
18,2015,14,6,10,Fremantle,Melbourne,M.C.G.,50,118,Round 5,Fremantle
11,2015,14,11,16,Essendon,St Kilda,Docklands,80,82,Round 5,Essendon
18,2015,13,13,7,Port Adelaide,Adelaide,Adelaide Oval,91,115,Round 5,Port Adelaide
15,2015,11,8,10,Geelong,Collingwood,M.C.G.,59,100,Round 6,Geelong
10,2015,13,16,14,Richmond,North Melbourne,Bellerive Oval,109,74,Round 6,North Melbourne
14,2015,9,13,10,St Kilda,Western Bulldogs,Docklands,87,94,Round 6,St Kilda
14,2015,12,16,14,Hawthorn,Greater Western Sydney,Sydney Showground,108,98,Round 6,Greater Western Sydney
18,2015,12,11,11,Adelaide,Gold Coast,Carrara,78,119,Round 6,Adelaide
12,2015,8,7,16,Sydney,Melbourne,M.C.G.,50,88,Round 6,Sydney
7,2015,8,12,10,Essendon,Fremantle,Subiaco,80,52,Round 6,Fremantle
12,2015,9,11,12,Brisbane Lions,Carlton,Docklands,75,84,Round 6,Brisbane Lions
11,2015,8,10,12,West Coast,Port Adelaide,Adelaide Oval,68,78,Round 6,West Coast
13,2015,10,12,15,North Melbourne,Essendon,Docklands,82,93,Round 7,North Melbourne
10,2015,11,18,13,St Kilda,Adelaide,Adelaide Oval,119,73,Round 7,Adelaide
7,2015,11,24,8,Melbourne,Hawthorn,M.C.G.,155,50,Round 7,Hawthorn
19,2015,3,9,21,Greater Western Sydney,Carlton,Docklands,57,135,Round 7,Greater Western Sydney
11,2015,12,18,11,Geelong,Sydney,Stadium Australia,120,77,Round 7,Sydney
6,2015,9,21,7,Gold Coast,West Coast,Subiaco,135,43,Round 7,West Coast
15,2015,4,14,11,Fremantle,Western Bulldogs,Docklands,88,101,Round 7,Fremantle
15,2015,9,16,10,Collingwood,Richmond,M.C.G.,105,100,Round 7,Richmond
8,2015,12,15,17,Port Adelaide,Brisbane Lions,Gabba,102,65,Round 7,Brisbane Lions
9,2015,8,22,9,Carlton,Geelong,Docklands,140,63,Round 8,Geelong
20,2015,6,12,11,West Coast,St Kilda,Docklands,78,131,Round 8,West Coast
12,2015,12,16,12,Adelaide,Greater Western Sydney,Sydney Showground,108,84,Round 8,Greater Western Sydney
20,2015,9,9,12,Collingwood,Gold Coast,Carrara,63,132,Round 8,Collingwood
11,2015,15,9,7,Sydney,Hawthorn,M.C.G.,69,73,Round 8,Sydney
5,2015,13,17,12,North Melbourne,Fremantle,Subiaco,115,42,Round 8,Fremantle
12,2015,10,21,6,Brisbane Lions,Essendon,Docklands,136,78,Round 8,Essendon
9,2015,13,15,10,Western Bulldogs,Melbourne,M.C.G.,103,64,Round 8,Melbourne
11,2015,13,5,10,Richmond,Port Adelaide,Adelaide Oval,43,76,Round 8,Richmond
9,2015,8,19,8,Carlton,Sydney,S.C.G.,122,62,Round 9,Sydney
6,2015,9,14,4,Gold Coast,Hawthorn,University of Tasmania Stadium,93,40,Round 9,Hawthorn
18,2015,6,8,7,Port Adelaide,Melbourne,Traeger Park,54,115,Round 9,Port Adelaide
11,2015,17,16,2,Greater Western Sydney,Western Bulldogs,Docklands,113,68,Round 9,Western Bulldogs
8,2015,12,10,11,Essendon,Richmond,M.C.G.,72,59,Round 9,Richmond
10,2015,15,7,8,Fremantle,Adelaide,Adelaide Oval,57,68,Round 9,Fremantle
16,2015,8,13,12,St Kilda,Brisbane Lions,Gabba,86,108,Round 9,St Kilda
14,2015,10,17,11,North Melbourne,Collingwood,M.C.G.,112,95,Round 9,Collingwood
10,2015,24,16,4,Geelong,West Coast,Subiaco,120,64,Round 9,West Coast
15,2015,10,10,7,Richmond,Fremantle,Subiaco,70,97,Round 10,Richmond
14,2015,6,14,15,Adelaide,Carlton,M.C.G.,90,99,Round 10,Adelaide
13,2015,11,5,15,Sydney,Gold Coast,Carrara,41,93,Round 10,Sydney
19,2015,11,7,8,Geelong,Essendon,Docklands,53,122,Round 10,Geelong
9,2015,4,16,8,Western Bulldogs,Port Adelaide,Adelaide Oval,100,62,Round 10,Port Adelaide
10,2015,13,14,7,Brisbane Lions,Greater Western Sydney,Sydney Showground,97,67,Round 10,Greater Western Sydney
10,2015,7,13,15,West Coast,North Melbourne,Bellerive Oval,85,75,Round 10,North Melbourne
20,2015,9,10,12,Hawthorn,St Kilda,Docklands,69,132,Round 10,Hawthorn
17,2015,7,13,8,Collingwood,Melbourne,M.C.G.,85,110,Round 10,Collingwood
14,2015,3,11,8,Geelong,Port Adelaide,Adelaide Oval,69,92,Round 11,Geelong
6,2015,4,7,17,Fremantle,Gold Coast,Carrara,46,53,Round 11,Fremantle
6,2015,12,14,10,Essendon,West Coast,Subiaco,96,46,Round 11,West Coast
14,2015,15,10,7,Sydney,North Melbourne,Docklands,75,91,Round 11,Sydney
11,2015,11,18,11,Greater Western Sydney,Collingwood,M.C.G.,119,77,Round 11,Collingwood
12,2015,13,12,11,Melbourne,St Kilda,Docklands,85,83,Round 11,St Kilda
17,2015,13,12,12,Hawthorn,Adelaide,Adelaide Oval,85,114,Round 12,Hawthorn
13,2015,10,10,12,West Coast,Richmond,M.C.G.,70,90,Round 12,West Coast
16,2015,8,17,10,Port Adelaide,Carlton,M.C.G.,110,106,Round 12,Carlton
18,2015,13,8,9,North Melbourne,Greater Western Sydney,Sydney Showground,61,117,Round 12,North Melbourne
11,2015,14,22,8,Brisbane Lions,Western Bulldogs,Docklands,146,74,Round 12,Western Bulldogs
18,2015,11,13,5,Melbourne,Geelong,GMHBA Stadium,89,113,Round 12,Melbourne
11,2015,8,12,7,Collingwood,Fremantle,Subiaco,80,73,Round 13,Fremantle
14,2015,11,11,11,Richmond,Sydney,S.C.G.,77,95,Round 13,Richmond
11,2015,18,16,10,Essendon,Hawthorn,M.C.G.,114,76,Round 13,Hawthorn
11,2015,9,10,16,Adelaide,Brisbane Lions,Gabba,69,82,Round 13,Adelaide
9,2015,14,7,8,Western Bulldogs,St Kilda,Docklands,56,62,Round 13,Western Bulldogs
9,2015,19,14,15,Gold Coast,Carlton,Docklands,103,69,Round 13,Carlton
12,2015,10,14,12,Port Adelaide,Sydney,S.C.G.,94,84,Round 14,Sydney
15,2015,19,12,11,Hawthorn,Collingwood,M.C.G.,91,101,Round 14,Hawthorn
