winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Sydney,Round 12,74,7.0,109,2014,14.0,17.0,Sydney,Carrara,10.0,Gold Coast,24.0,24.0,Queensland
Fremantle,Round 12,90,8.0,50,2014,18.0,7.0,Adelaide,Subiaco,12.0,Fremantle,15.0,30.0,Western Australia
North Melbourne,Round 12,116,10.0,88,2014,14.0,13.0,Richmond,Docklands,17.0,North Melbourne,23.0,31.0,Victoria
Collingwood,Round 12,28,13.0,61,2014,10.0,8.0,Collingwood,M.C.G.,3.0,Melbourne,21.0,13.0,Victoria
Hawthorn,Round 13,90,10.0,118,2014,12.0,18.0,Hawthorn,M.C.G.,13.0,Carlton,28.0,25.0,Victoria
Fremantle,Round 13,85,9.0,105,2014,13.0,16.0,Fremantle,M.C.G.,12.0,Richmond,25.0,25.0,Victoria
Sydney,Round 13,98,16.0,94,2014,14.0,13.0,Port Adelaide,S.C.G.,14.0,Sydney,29.0,28.0,New South Wales
West Coast,Round 13,103,10.0,100,2014,13.0,15.0,Gold Coast,Subiaco,15.0,West Coast,25.0,28.0,Western Australia
Adelaide,Round 13,109,13.0,73,2014,13.0,10.0,North Melbourne,Adelaide Oval,16.0,Adelaide,23.0,29.0,South Australia
Greater Western Sydney,Round 13,80,11.0,125,2014,8.0,19.0,Greater Western Sydney,Gabba,12.0,Brisbane Lions,30.0,20.0,Queensland
Geelong,Round 13,133,7.0,37,2014,13.0,5.0,St Kilda,GMHBA Stadium,20.0,Geelong,12.0,33.0,Victoria
Western Bulldogs,Round 13,98,10.0,106,2014,8.0,16.0,Western Bulldogs,Docklands,15.0,Collingwood,26.0,23.0,Victoria
Melbourne,Round 13,77,6.0,78,2014,17.0,12.0,Melbourne,M.C.G.,10.0,Essendon,18.0,27.0,Victoria
Sydney,Round 14,51,8.0,62,2014,9.0,9.0,Sydney,M.C.G.,7.0,Richmond,17.0,16.0,Victoria
Port Adelaide,Round 14,128,8.0,56,2014,14.0,8.0,Western Bulldogs,Adelaide Oval,19.0,Port Adelaide,16.0,33.0,South Australia
Hawthorn,Round 14,115,8.0,86,2014,13.0,13.0,Collingwood,M.C.G.,17.0,Hawthorn,21.0,30.0,Victoria
Gold Coast,Round 14,118,12.0,78,2014,16.0,11.0,Geelong,Carrara,17.0,Gold Coast,23.0,33.0,Queensland
Fremantle,Round 14,105,4.0,22,2014,15.0,3.0,Brisbane Lions,Subiaco,15.0,Fremantle,7.0,30.0,Western Australia
Essendon,Round 14,101,8.0,92,2014,11.0,14.0,Adelaide,Docklands,15.0,Essendon,22.0,26.0,Victoria
Greater Western Sydney,Round 14,100,8.0,92,2014,10.0,14.0,Carlton,Sydney Showground,15.0,Greater Western Sydney,22.0,25.0,New South Wales
West Coast,Round 14,70,13.0,103,2014,10.0,15.0,West Coast,Docklands,10.0,St Kilda,28.0,20.0,Victoria
North Melbourne,Round 14,66,17.0,107,2014,6.0,15.0,North Melbourne,M.C.G.,10.0,Melbourne,32.0,16.0,Victoria
Geelong,Round 15,89,14.0,80,2014,11.0,11.0,Essendon,Docklands,13.0,Geelong,25.0,24.0,Victoria
Hawthorn,Round 15,116,3.0,63,2014,14.0,10.0,Gold Coast,University of Tasmania Stadium,17.0,Hawthorn,13.0,31.0,Victoria
Richmond,Round 15,73,9.0,117,2014,7.0,18.0,Richmond,Docklands,11.0,St Kilda,27.0,18.0,Victoria
Fremantle,Round 15,88,15.0,81,2014,10.0,11.0,West Coast,Subiaco,13.0,Fremantle,26.0,23.0,Western Australia
Sydney,Round 15,106,12.0,60,2014,16.0,8.0,Greater Western Sydney,S.C.G.,15.0,Sydney,20.0,31.0,New South Wales
Brisbane Lions,Round 15,70,12.0,66,2014,10.0,9.0,North Melbourne,Gabba,10.0,Brisbane Lions,21.0,20.0,Queensland
Western Bulldogs,Round 15,91,7.0,85,2014,7.0,13.0,Melbourne,Docklands,14.0,Western Bulldogs,20.0,21.0,Victoria
Adelaide,Round 15,99,16.0,76,2014,15.0,10.0,Port Adelaide,Adelaide Oval,14.0,Adelaide,26.0,29.0,South Australia
Collingwood,Round 15,91,10.0,76,2014,13.0,11.0,Carlton,M.C.G.,13.0,Collingwood,21.0,26.0,Victoria
North Melbourne,Round 16,108,10.0,88,2014,12.0,13.0,Hawthorn,Docklands,16.0,North Melbourne,23.0,28.0,Victoria
