winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Richmond,Round 1,89,12.0,132,2017,5.0,20.0,Richmond,M.C.G.,14.0,Carlton,32.0,19.0,Victoria
Western Bulldogs,Round 1,86,10.0,100,2017,14.0,15.0,Western Bulldogs,M.C.G.,12.0,Collingwood,25.0,26.0,Victoria
Port Adelaide,Round 1,82,8.0,110,2017,10.0,17.0,Port Adelaide,S.C.G.,12.0,Sydney,25.0,22.0,New South Wales
Melbourne,Round 1,90,12.0,120,2017,12.0,18.0,Melbourne,Docklands,13.0,St Kilda,30.0,25.0,Victoria
Brisbane Lions,Round 1,96,8.0,98,2017,12.0,15.0,Brisbane Lions,Carrara,14.0,Gold Coast,23.0,26.0,Queensland
Essendon,Round 1,116,19.0,91,2017,14.0,12.0,Hawthorn,M.C.G.,17.0,Essendon,31.0,31.0,Victoria
West Coast,Round 1,93,10.0,136,2017,15.0,21.0,West Coast,Docklands,13.0,North Melbourne,31.0,28.0,Victoria
Adelaide,Round 1,147,7.0,91,2017,15.0,14.0,Greater Western Sydney,Adelaide Oval,22.0,Adelaide,21.0,37.0,South Australia
Geelong,Round 1,73,7.0,115,2017,13.0,18.0,Geelong,Subiaco,10.0,Fremantle,25.0,23.0,Western Australia
Richmond,Round 2,99,14.0,80,2017,15.0,11.0,Collingwood,M.C.G.,14.0,Richmond,25.0,29.0,Victoria
Western Bulldogs,Round 2,110,9.0,87,2017,14.0,13.0,Sydney,Docklands,16.0,Western Bulldogs,22.0,30.0,Victoria
Adelaide,Round 2,89,17.0,113,2017,11.0,16.0,Adelaide,M.C.G.,13.0,Hawthorn,33.0,24.0,Victoria
Greater Western Sydney,Round 2,160,10.0,58,2017,16.0,8.0,Gold Coast,Sydney Showground,24.0,Greater Western Sydney,18.0,40.0,New South Wales
Essendon,Round 2,84,9.0,111,2017,12.0,17.0,Essendon,Gabba,12.0,Brisbane Lions,26.0,24.0,Queensland
West Coast,Round 2,116,19.0,97,2017,8.0,13.0,St Kilda,Subiaco,18.0,West Coast,32.0,26.0,Western Australia
Geelong,Round 2,112,9.0,111,2017,10.0,17.0,North Melbourne,Docklands,17.0,Geelong,26.0,27.0,Victoria
Melbourne,Round 2,86,10.0,64,2017,8.0,9.0,Carlton,M.C.G.,13.0,Melbourne,19.0,21.0,Victoria
Port Adelaide,Round 2,145,8.0,56,2017,13.0,8.0,Fremantle,Adelaide Oval,22.0,Port Adelaide,16.0,35.0,South Australia
Collingwood,Round 3,79,14.0,80,2017,13.0,11.0,Collingwood,S.C.G.,11.0,Sydney,25.0,24.0,New South Wales
Greater Western Sydney,Round 3,67,19.0,109,2017,7.0,15.0,Greater Western Sydney,Bellerive Oval,10.0,North Melbourne,34.0,17.0,Victoria
Richmond,Round 3,76,17.0,65,2017,10.0,8.0,West Coast,M.C.G.,11.0,Richmond,25.0,21.0,Victoria
Geelong,Round 3,126,19.0,97,2017,6.0,13.0,Melbourne,Docklands,20.0,Geelong,32.0,26.0,Victoria
Adelaide,Round 3,83,10.0,100,2017,11.0,15.0,Adelaide,Adelaide Oval,12.0,Port Adelaide,25.0,23.0,South Australia
Fremantle,Round 3,89,13.0,73,2017,11.0,10.0,Western Bulldogs,Subiaco,13.0,Fremantle,23.0,24.0,Western Australia
St Kilda,Round 3,107,10.0,76,2017,23.0,11.0,Brisbane Lions,Docklands,14.0,St Kilda,21.0,37.0,Victoria
Carlton,Round 3,57,6.0,42,2017,15.0,6.0,Essendon,M.C.G.,7.0,Carlton,12.0,22.0,Victoria
Gold Coast,Round 3,139,11.0,53,2017,13.0,7.0,Hawthorn,Carrara,21.0,Gold Coast,18.0,34.0,Queensland
West Coast,Round 4,91,5.0,65,2017,13.0,10.0,Sydney,Subiaco,13.0,West Coast,15.0,26.0,Western Australia
Western Bulldogs,Round 4,86,17.0,89,2017,14.0,12.0,Western Bulldogs,Docklands,12.0,North Melbourne,29.0,26.0,Victoria
Fremantle,Round 4,104,10.0,106,2017,14.0,16.0,Fremantle,M.C.G.,15.0,Melbourne,26.0,29.0,Victoria
Greater Western Sydney,Round 4,112,15.0,81,2017,16.0,11.0,Port Adelaide,UNSW Canberra Oval,16.0,Greater Western Sydney,26.0,32.0,New South Wales
Gold Coast,Round 4,82,6.0,108,2017,10.0,17.0,Gold Coast,Docklands,12.0,Carlton,23.0,22.0,Victoria
Adelaide,Round 4,153,10.0,88,2017,9.0,13.0,Essendon,Adelaide Oval,24.0,Adelaide,23.0,33.0,South Australia
St Kilda,Round 4,55,15.0,69,2017,13.0,9.0,St Kilda,Docklands,7.0,Collingwood,24.0,20.0,Victoria
Richmond,Round 4,67,17.0,119,2017,7.0,17.0,Richmond,Gabba,10.0,Brisbane Lions,34.0,17.0,Queensland
Geelong,Round 4,48,14.0,134,2017,12.0,20.0,Geelong,M.C.G.,6.0,Hawthorn,34.0,18.0,Victoria
Port Adelaide,Round 5,137,11.0,47,2017,17.0,6.0,Carlton,Adelaide Oval,20.0,Port Adelaide,17.0,37.0,South Australia
Western Bulldogs,Round 5,122,6.0,90,2017,20.0,14.0,Brisbane Lions,Docklands,17.0,Western Bulldogs,20.0,37.0,Victoria
Adelaide,Round 5,86,15.0,153,2017,8.0,23.0,Adelaide,Carrara,13.0,Gold Coast,38.0,21.0,Queensland
Greater Western Sydney,Round 5,63,15.0,105,2017,9.0,15.0,Greater Western Sydney,S.C.G.,9.0,Sydney,30.0,18.0,New South Wales
Fremantle,Round 5,67,8.0,62,2017,13.0,9.0,North Melbourne,Subiaco,9.0,Fremantle,17.0,22.0,Western Australia
Geelong,Round 5,88,12.0,126,2017,10.0,19.0,Geelong,Docklands,13.0,St Kilda,31.0,23.0,Victoria
Hawthorn,Round 5,125,9.0,75,2017,11.0,11.0,West Coast,M.C.G.,19.0,Hawthorn,20.0,30.0,Victoria
Richmond,Round 5,88,9.0,75,2017,16.0,11.0,Melbourne,M.C.G.,12.0,Richmond,20.0,28.0,Victoria
Essendon,Round 5,100,16.0,82,2017,10.0,11.0,Collingwood,M.C.G.,15.0,Essendon,27.0,25.0,Victoria
Greater Western Sydney,Round 6,75,19.0,73,2017,9.0,9.0,Western Bulldogs,UNSW Canberra Oval,11.0,Greater Western Sydney,28.0,20.0,New South Wales
St Kilda,Round 6,55,16.0,130,2017,7.0,19.0,St Kilda,University of Tasmania Stadium,8.0,Hawthorn,35.0,15.0,Victoria
Carlton,Round 6,97,12.0,78,2017,7.0,11.0,Sydney,M.C.G.,15.0,Carlton,23.0,22.0,Victoria
Port Adelaide,Round 6,67,18.0,150,2017,7.0,22.0,Port Adelaide,Gabba,10.0,Brisbane Lions,40.0,17.0,Queensland
North Melbourne,Round 6,107,10.0,94,2017,11.0,14.0,Gold Coast,Docklands,16.0,North Melbourne,24.0,27.0,Victoria
West Coast,Round 6,103,8.0,62,2017,7.0,9.0,Fremantle,Subiaco,16.0,West Coast,17.0,23.0,Western Australia
Melbourne,Round 6,74,10.0,112,2017,14.0,17.0,Melbourne,Docklands,10.0,Essendon,27.0,24.0,Victoria
Collingwood,Round 6,78,17.0,107,2017,12.0,15.0,Collingwood,M.C.G.,11.0,Geelong,32.0,23.0,Victoria
Adelaide,Round 6,140,4.0,64,2017,14.0,10.0,Richmond,Adelaide Oval,21.0,Adelaide,14.0,35.0,South Australia
St Kilda,Round 7,108,13.0,85,2017,12.0,12.0,Greater Western Sydney,Docklands,16.0,St Kilda,25.0,28.0,Victoria
North Melbourne,Round 7,145,8.0,86,2017,13.0,13.0,Adelaide,Bellerive Oval,22.0,North Melbourne,21.0,35.0,Victoria
Carlton,Round 7,56,7.0,79,2017,8.0,12.0,Carlton,M.C.G.,8.0,Collingwood,19.0,16.0,Victoria
West Coast,Round 7,87,7.0,97,2017,15.0,15.0,West Coast,Adelaide Oval,12.0,Port Adelaide,22.0,27.0,South Australia
Gold Coast,Round 7,124,9.0,99,2017,16.0,15.0,Geelong,Carrara,18.0,Gold Coast,24.0,34.0,Queensland
Western Bulldogs,Round 7,80,9.0,75,2017,14.0,11.0,Richmond,Docklands,11.0,Western Bulldogs,20.0,25.0,Victoria
Sydney,Round 7,135,9.0,81,2017,15.0,12.0,Brisbane Lions,S.C.G.,20.0,Sydney,21.0,35.0,New South Wales
Hawthorn,Round 7,91,10.0,94,2017,7.0,14.0,Hawthorn,M.C.G.,14.0,Melbourne,24.0,21.0,Victoria
Fremantle,Round 7,116,13.0,79,2017,14.0,11.0,Essendon,Subiaco,17.0,Fremantle,24.0,31.0,Western Australia
West Coast,Round 8,69,13.0,61,2017,15.0,8.0,Western Bulldogs,Subiaco,9.0,West Coast,21.0,24.0,Western Australia
Hawthorn,Round 8,113,9.0,75,2017,11.0,11.0,Brisbane Lions,University of Tasmania Stadium,17.0,Hawthorn,20.0,28.0,Victoria
St Kilda,Round 8,85,6.0,66,2017,13.0,10.0,Carlton,Docklands,12.0,St Kilda,16.0,25.0,Victoria
Greater Western Sydney,Round 8,102,9.0,99,2017,12.0,15.0,Collingwood,Sydney Showground,15.0,Greater Western Sydney,24.0,27.0,New South Wales
Essendon,Round 8,110,15.0,93,2017,8.0,13.0,Geelong,M.C.G.,17.0,Essendon,28.0,25.0,Victoria
Melbourne,Round 8,66,5.0,107,2017,12.0,17.0,Melbourne,Adelaide Oval,9.0,Adelaide,22.0,21.0,South Australia
Fremantle,Round 8,70,12.0,72,2017,10.0,10.0,Fremantle,M.C.G.,10.0,Richmond,22.0,20.0,Victoria
Port Adelaide,Round 8,38,14.0,110,2017,14.0,16.0,Port Adelaide,Adelaide Arena at Jiangwan Stadium,4.0,Gold Coast,30.0,18.0,Queensland
Sydney,Round 8,78,12.0,120,2017,12.0,18.0,Sydney,Docklands,11.0,North Melbourne,30.0,23.0,Victoria
Geelong,Round 9,104,9.0,81,2017,8.0,12.0,Western Bulldogs,GMHBA Stadium,16.0,Geelong,21.0,24.0,Victoria
Sydney,Round 9,68,10.0,118,2017,8.0,18.0,Sydney,Docklands,10.0,St Kilda,28.0,18.0,Victoria
Greater Western Sydney,Round 9,78,15.0,75,2017,12.0,10.0,Richmond,Sydney Showground,11.0,Greater Western Sydney,25.0,23.0,New South Wales
Adelaide,Round 9,60,14.0,140,2017,18.0,21.0,Adelaide,Gabba,7.0,Brisbane Lions,35.0,25.0,Queensland
Collingwood,Round 9,90,6.0,72,2017,12.0,11.0,Hawthorn,M.C.G.,13.0,Collingwood,17.0,25.0,Victoria
Essendon,Round 9,125,16.0,64,2017,11.0,8.0,West Coast,Docklands,19.0,Essendon,24.0,30.0,Victoria
North Melbourne,Round 9,90,14.0,104,2017,12.0,15.0,North Melbourne,M.C.G.,13.0,Melbourne,29.0,25.0,Victoria
Fremantle,Round 9,86,9.0,51,2017,8.0,7.0,Carlton,Subiaco,13.0,Fremantle,16.0,21.0,Western Australia
Geelong,Round 10,81,13.0,79,2017,15.0,11.0,Port Adelaide,GMHBA Stadium,11.0,Geelong,24.0,26.0,Victoria
Hawthorn,Round 10,75,9.0,81,2017,9.0,12.0,Hawthorn,S.C.G.,11.0,Sydney,21.0,20.0,New South Wales
Western Bulldogs,Round 10,90,8.0,50,2017,12.0,7.0,St Kilda,Docklands,13.0,Western Bulldogs,15.0,25.0,Victoria
Melbourne,Round 10,122,9.0,87,2017,14.0,13.0,Gold Coast,Traeger Park,18.0,Melbourne,22.0,32.0,Victoria
Richmond,Round 10,81,6.0,66,2017,15.0,10.0,Essendon,M.C.G.,11.0,Richmond,16.0,26.0,Victoria
Adelaide,Round 10,143,7.0,43,2017,23.0,6.0,Fremantle,Adelaide Oval,20.0,Adelaide,13.0,43.0,South Australia
Collingwood,Round 10,129,6.0,84,2017,21.0,13.0,Brisbane Lions,M.C.G.,18.0,Collingwood,19.0,39.0,Victoria
North Melbourne,Round 10,96,11.0,113,2017,6.0,17.0,North Melbourne,Docklands,15.0,Carlton,28.0,21.0,Victoria
Greater Western Sydney,Round 10,90,14.0,98,2017,6.0,14.0,Greater Western Sydney,Subiaco,14.0,West Coast,28.0,20.0,Western Australia
Port Adelaide,Round 11,98,5.0,47,2017,20.0,7.0,Hawthorn,Adelaide Oval,13.0,Port Adelaide,12.0,33.0,South Australia
Geelong,Round 11,96,14.0,74,2017,18.0,10.0,Adelaide,GMHBA Stadium,13.0,Geelong,24.0,31.0,Victoria
Gold Coast,Round 11,80,11.0,77,2017,14.0,11.0,West Coast,Carrara,11.0,Gold Coast,22.0,25.0,Queensland
Greater Western Sydney,Round 11,117,11.0,101,2017,9.0,15.0,Essendon,Sydney Showground,18.0,Greater Western Sydney,26.0,27.0,New South Wales
Richmond,Round 11,66,17.0,101,2017,12.0,14.0,Richmond,Docklands,9.0,North Melbourne,31.0,21.0,Victoria
Collingwood,Round 11,85,15.0,105,2017,13.0,15.0,Collingwood,Subiaco,12.0,Fremantle,30.0,25.0,Western Australia
Sydney,Round 12,88,6.0,42,2017,16.0,6.0,Western Bulldogs,S.C.G.,12.0,Sydney,12.0,28.0,New South Wales
Adelaide,Round 12,111,12.0,54,2017,15.0,7.0,St Kilda,Adelaide Oval,16.0,Adelaide,19.0,31.0,South Australia
Gold Coast,Round 12,79,17.0,95,2017,7.0,13.0,Gold Coast,M.C.G.,12.0,Hawthorn,30.0,19.0,Victoria
Brisbane Lions,Round 12,121,10.0,64,2017,13.0,9.0,Fremantle,Gabba,18.0,Brisbane Lions,19.0,31.0,Queensland
Essendon,Round 12,131,13.0,61,2017,17.0,8.0,Port Adelaide,Docklands,19.0,Essendon,21.0,36.0,Victoria
Carlton,Round 12,71,16.0,70,2017,11.0,9.0,Greater Western Sydney,Docklands,10.0,Carlton,25.0,21.0,Victoria
Melbourne,Round 12,104,10.0,100,2017,14.0,15.0,Collingwood,M.C.G.,15.0,Melbourne,25.0,29.0,Victoria
West Coast,Round 13,83,10.0,70,2017,17.0,10.0,Geelong,Subiaco,11.0,West Coast,20.0,28.0,Western Australia
St Kilda,Round 13,72,17.0,89,2017,12.0,12.0,St Kilda,Docklands,10.0,North Melbourne,29.0,22.0,Victoria
Sydney,Round 13,71,8.0,80,2017,11.0,12.0,Sydney,M.C.G.,10.0,Richmond,20.0,21.0,Victoria
Port Adelaide,Round 13,121,9.0,81,2017,13.0,12.0,Brisbane Lions,Adelaide Oval,18.0,Port Adelaide,21.0,31.0,South Australia
Carlton,Round 13,73,11.0,83,2017,7.0,12.0,Carlton,Carrara,11.0,Gold Coast,23.0,18.0,Queensland
Melbourne,Round 13,56,11.0,113,2017,8.0,17.0,Melbourne,Docklands,8.0,Western Bulldogs,28.0,16.0,Victoria
Hawthorn,Round 14,82,12.0,96,2017,10.0,14.0,Hawthorn,Adelaide Oval,12.0,Adelaide,26.0,22.0,South Australia
Sydney,Round 14,86,13.0,85,2017,20.0,12.0,Essendon,S.C.G.,11.0,Sydney,25.0,31.0,New South Wales
Port Adelaide,Round 14,62,15.0,93,2017,8.0,13.0,Port Adelaide,M.C.G.,9.0,Collingwood,28.0,17.0,Victoria
Greater Western Sydney,Round 14,86,14.0,146,2017,14.0,22.0,Greater Western Sydney,Gabba,12.0,Brisbane Lions,36.0,26.0,Queensland
Western Bulldogs,Round 14,107,10.0,106,2017,17.0,16.0,North Melbourne,Docklands,15.0,Western Bulldogs,26.0,32.0,Victoria
Melbourne,Round 14,96,9.0,99,2017,12.0,15.0,Melbourne,Subiaco,14.0,West Coast,24.0,26.0,Western Australia
Geelong,Round 14,74,6.0,72,2017,14.0,11.0,Fremantle,GMHBA Stadium,10.0,Geelong,17.0,24.0,Victoria
Richmond,Round 14,84,10.0,58,2017,18.0,8.0,Carlton,M.C.G.,11.0,Richmond,18.0,29.0,Victoria
St Kilda,Round 14,103,12.0,72,2017,19.0,10.0,Gold Coast,Docklands,14.0,St Kilda,22.0,33.0,Victoria
Sydney,Round 15,50,19.0,85,2017,8.0,11.0,Sydney,M.C.G.,7.0,Melbourne,30.0,15.0,Victoria
West Coast,Round 15,80,15.0,87,2017,14.0,12.0,West Coast,Docklands,11.0,Western Bulldogs,27.0,25.0,Victoria
Adelaide,Round 15,77,11.0,89,2017,5.0,13.0,Adelaide,M.C.G.,12.0,Carlton,24.0,17.0,Victoria
Gold Coast,Round 15,118,15.0,99,2017,10.0,14.0,North Melbourne,Carrara,18.0,Gold Coast,29.0,28.0,Queensland
,Round 15,68,8.0,68,2017,8.0,10.0,Geelong,Sydney Showground,10.0,Greater Western Sydney,18.0,18.0,New South Wales
Richmond,Round 15,63,10.0,76,2017,15.0,11.0,Richmond,Adelaide Oval,8.0,Port Adelaide,21.0,23.0,South Australia
Brisbane Lions,Round 15,82,12.0,90,2017,16.0,13.0,Brisbane Lions,Docklands,11.0,Essendon,25.0,27.0,Victoria
Hawthorn,Round 15,118,10.0,94,2017,10.0,14.0,Collingwood,M.C.G.,18.0,Hawthorn,24.0,28.0,Victoria
St Kilda,Round 15,80,17.0,89,2017,8.0,12.0,St Kilda,Subiaco,12.0,Fremantle,29.0,20.0,Western Australia
Adelaide,Round 16,104,15.0,45,2017,8.0,5.0,Western Bulldogs,Adelaide Oval,16.0,Adelaide,20.0,24.0,South Australia
,Round 16,97,7.0,97,2017,13.0,15.0,Greater Western Sydney,University of Tasmania Stadium,14.0,Hawthorn,22.0,27.0,Victoria
Essendon,Round 16,80,9.0,117,2017,8.0,18.0,Essendon,M.C.G.,12.0,Collingwood,27.0,20.0,Victoria
Sydney,Round 16,118,9.0,51,2017,16.0,7.0,Gold Coast,S.C.G.,17.0,Sydney,16.0,33.0,New South Wales
Geelong,Round 16,78,13.0,163,2017,12.0,25.0,Geelong,Gabba,11.0,Brisbane Lions,38.0,23.0,Queensland
St Kilda,Round 16,138,11.0,71,2017,12.0,10.0,Richmond,Docklands,21.0,St Kilda,21.0,33.0,Victoria
Fremantle,Round 16,82,8.0,86,2017,10.0,13.0,Fremantle,Docklands,12.0,North Melbourne,21.0,22.0,Victoria
Melbourne,Round 16,82,6.0,90,2017,10.0,14.0,Melbourne,M.C.G.,12.0,Carlton,20.0,22.0,Victoria
Port Adelaide,Round 16,88,12.0,120,2017,10.0,18.0,Port Adelaide,Subiaco,13.0,West Coast,30.0,23.0,Western Australia
Essendon,Round 17,57,16.0,118,2017,15.0,17.0,Essendon,Docklands,7.0,St Kilda,33.0,22.0,Victoria
Geelong,Round 17,88,13.0,85,2017,10.0,12.0,Hawthorn,M.C.G.,13.0,Geelong,25.0,23.0,Victoria
Port Adelaide,Round 17,127,9.0,57,2017,13.0,8.0,North Melbourne,Adelaide Oval,19.0,Port Adelaide,17.0,32.0,South Australia
Collingwood,Round 17,88,13.0,103,2017,10.0,15.0,Collingwood,Carrara,13.0,Gold Coast,28.0,23.0,Queensland
Sydney,Round 17,83,12.0,96,2017,11.0,14.0,Sydney,Sydney Showground,12.0,Greater Western Sydney,26.0,23.0,New South Wales
Adelaide,Round 17,70,14.0,116,2017,10.0,17.0,Adelaide,Marrara Oval,10.0,Melbourne,31.0,20.0,Victoria
Richmond,Round 17,112,9.0,81,2017,16.0,12.0,Brisbane Lions,Docklands,16.0,Richmond,21.0,32.0,Victoria
Western Bulldogs,Round 17,62,10.0,82,2017,8.0,12.0,Western Bulldogs,M.C.G.,9.0,Carlton,22.0,17.0,Victoria
West Coast,Round 17,44,8.0,74,2017,14.0,11.0,West Coast,Subiaco,5.0,Fremantle,19.0,19.0,Western Australia
Adelaide,Round 18,91,10.0,70,2017,13.0,10.0,Geelong,Adelaide Oval,13.0,Adelaide,20.0,26.0,South Australia
Essendon,Round 18,132,9.0,105,2017,12.0,16.0,North Melbourne,Docklands,20.0,Essendon,25.0,32.0,Victoria
Melbourne,Round 18,88,11.0,65,2017,10.0,9.0,Port Adelaide,M.C.G.,13.0,Melbourne,20.0,23.0,Victoria
Western Bulldogs,Round 18,110,8.0,56,2017,14.0,8.0,Gold Coast,Cazaly's Stadium,16.0,Western Bulldogs,16.0,30.0,Victoria
Sydney,Round 18,101,5.0,59,2017,17.0,9.0,St Kilda,S.C.G.,14.0,Sydney,14.0,31.0,New South Wales
Hawthorn,Round 18,48,10.0,100,2017,6.0,15.0,Hawthorn,Subiaco,7.0,Fremantle,25.0,13.0,Western Australia
Richmond,Round 18,64,9.0,45,2017,10.0,6.0,Greater Western Sydney,M.C.G.,9.0,Richmond,15.0,19.0,Victoria
Collingwood,Round 18,93,7.0,85,2017,15.0,13.0,West Coast,Docklands,13.0,Collingwood,20.0,28.0,Victoria
Brisbane Lions,Round 18,112,16.0,82,2017,10.0,11.0,Carlton,Gabba,17.0,Brisbane Lions,27.0,27.0,Queensland
Hawthorn,Round 19,72,12.0,66,2017,12.0,9.0,Sydney,M.C.G.,10.0,Hawthorn,21.0,22.0,Victoria
North Melbourne,Round 19,76,12.0,72,2017,10.0,10.0,Melbourne,Bellerive Oval,11.0,North Melbourne,22.0,21.0,Victoria
Greater Western Sydney,Round 19,98,8.0,86,2017,20.0,13.0,Fremantle,Sydney Showground,13.0,Greater Western Sydney,21.0,33.0,New South Wales
Port Adelaide,Round 19,63,13.0,61,2017,9.0,8.0,St Kilda,Adelaide Oval,9.0,Port Adelaide,21.0,18.0,South Australia
Richmond,Round 19,65,14.0,98,2017,5.0,14.0,Richmond,Carrara,10.0,Gold Coast,28.0,15.0,Queensland
Geelong,Round 19,58,15.0,123,2017,10.0,18.0,Geelong,Docklands,8.0,Carlton,33.0,18.0,Victoria
Western Bulldogs,Round 19,127,19.0,97,2017,13.0,13.0,Essendon,Docklands,19.0,Western Bulldogs,32.0,32.0,Victoria
,Round 19,103,7.0,103,2017,13.0,16.0,Adelaide,M.C.G.,15.0,Collingwood,23.0,28.0,Victoria
West Coast,Round 19,113,9.0,45,2017,11.0,6.0,Brisbane Lions,Subiaco,17.0,West Coast,15.0,28.0,Western Australia
Sydney,Round 20,61,11.0,107,2017,13.0,16.0,Sydney,GMHBA Stadium,8.0,Geelong,27.0,21.0,Victoria
Greater Western Sydney,Round 20,97,2.0,62,2017,13.0,10.0,Melbourne,UNSW Canberra Oval,14.0,Greater Western Sydney,12.0,27.0,New South Wales
Essendon,Round 20,84,10.0,76,2017,18.0,11.0,Carlton,M.C.G.,11.0,Essendon,21.0,29.0,Victoria
Western Bulldogs,Round 20,89,19.0,103,2017,11.0,14.0,Western Bulldogs,Gabba,13.0,Brisbane Lions,33.0,24.0,Queensland
Collingwood,Round 20,57,15.0,111,2017,15.0,16.0,Collingwood,Docklands,7.0,North Melbourne,31.0,22.0,Victoria
Fremantle,Round 20,90,7.0,67,2017,18.0,10.0,Gold Coast,Subiaco,12.0,Fremantle,17.0,30.0,Western Australia
St Kilda,Round 20,103,11.0,95,2017,13.0,14.0,West Coast,Docklands,15.0,St Kilda,25.0,28.0,Victoria
Richmond,Round 20,93,10.0,64,2017,15.0,9.0,Hawthorn,M.C.G.,13.0,Richmond,19.0,28.0,Victoria
Adelaide,Round 20,130,4.0,46,2017,22.0,7.0,Port Adelaide,Adelaide Oval,18.0,Adelaide,11.0,40.0,South Australia
Greater Western Sydney,Round 21,57,9.0,105,2017,15.0,16.0,Greater Western Sydney,Docklands,7.0,Western Bulldogs,25.0,22.0,Victoria
Sydney,Round 21,143,9.0,39,2017,11.0,5.0,Fremantle,S.C.G.,22.0,Sydney,14.0,33.0,New South Wales
Geelong,Round 21,80,12.0,66,2017,14.0,9.0,Richmond,GMHBA Stadium,11.0,Geelong,21.0,25.0,Victoria
Brisbane Lions,Round 21,142,12.0,84,2017,10.0,12.0,Gold Coast,Gabba,22.0,Brisbane Lions,24.0,32.0,Queensland
Adelaide,Round 21,80,15.0,123,2017,8.0,18.0,Adelaide,Docklands,12.0,Essendon,33.0,20.0,Victoria
West Coast,Round 21,100,11.0,83,2017,10.0,12.0,Carlton,Subiaco,15.0,West Coast,23.0,25.0,Western Australia
Melbourne,Round 21,96,12.0,72,2017,12.0,10.0,St Kilda,M.C.G.,14.0,Melbourne,22.0,26.0,Victoria
Hawthorn,Round 21,116,5.0,89,2017,8.0,14.0,North Melbourne,University of Tasmania Stadium,18.0,Hawthorn,19.0,26.0,Victoria
Port Adelaide,Round 21,98,11.0,71,2017,14.0,10.0,Collingwood,Adelaide Oval,14.0,Port Adelaide,21.0,28.0,South Australia
Sydney,Round 22,80,5.0,83,2017,14.0,13.0,Sydney,Adelaide Oval,11.0,Adelaide,18.0,25.0,South Australia
Port Adelaide,Round 22,79,12.0,96,2017,13.0,14.0,Port Adelaide,Mars Stadium,11.0,Western Bulldogs,26.0,24.0,Victoria
Geelong,Round 22,59,10.0,70,2017,5.0,10.0,Geelong,M.C.G.,9.0,Collingwood,20.0,14.0,Victoria
Greater Western Sydney,Round 22,81,6.0,60,2017,9.0,9.0,West Coast,Sydney Showground,12.0,Greater Western Sydney,15.0,21.0,New South Wales
Essendon,Round 22,57,18.0,90,2017,3.0,12.0,Essendon,Carrara,9.0,Gold Coast,30.0,12.0,Queensland
Carlton,Round 22,77,10.0,70,2017,5.0,10.0,Hawthorn,Docklands,12.0,Carlton,20.0,17.0,Victoria
Melbourne,Round 22,104,7.0,91,2017,8.0,14.0,Brisbane Lions,M.C.G.,16.0,Melbourne,21.0,24.0,Victoria
St Kilda,Round 22,127,6.0,78,2017,19.0,12.0,North Melbourne,Docklands,18.0,St Kilda,18.0,37.0,Victoria
Richmond,Round 22,51,5.0,155,2017,9.0,25.0,Richmond,Subiaco,7.0,Fremantle,30.0,16.0,Western Australia
West Coast,Round 23,100,11.0,71,2017,10.0,10.0,Adelaide,Subiaco,15.0,West Coast,21.0,25.0,Western Australia
Sydney,Round 23,138,9.0,57,2017,12.0,8.0,Carlton,S.C.G.,21.0,Sydney,17.0,33.0,New South Wales
North Melbourne,Round 23,79,16.0,130,2017,13.0,19.0,North Melbourne,Gabba,11.0,Brisbane Lions,35.0,24.0,Queensland
Port Adelaide,Round 23,135,2.0,20,2017,15.0,3.0,Gold Coast,Adelaide Oval,20.0,Port Adelaide,5.0,35.0,South Australia
Collingwood,Round 23,99,11.0,83,2017,15.0,12.0,Melbourne,M.C.G.,14.0,Collingwood,23.0,29.0,Victoria
Hawthorn,Round 23,99,12.0,90,2017,9.0,13.0,Western Bulldogs,Docklands,15.0,Hawthorn,25.0,24.0,Victoria
Geelong,Round 23,103,11.0,59,2017,13.0,8.0,Greater Western Sydney,GMHBA Stadium,15.0,Geelong,19.0,28.0,Victoria
Richmond,Round 23,122,9.0,81,2017,8.0,12.0,St Kilda,M.C.G.,19.0,Richmond,21.0,27.0,Victoria
Essendon,Round 23,107,8.0,92,2017,11.0,14.0,Fremantle,Docklands,16.0,Essendon,22.0,27.0,Victoria
Adelaide,Qualifying Final,84,12.0,48,2017,12.0,6.0,Greater Western Sydney,Adelaide Oval,12.0,Adelaide,18.0,24.0,South Australia
Richmond,Qualifying Final,40,13.0,91,2017,10.0,13.0,Richmond,M.C.G.,5.0,Geelong,26.0,15.0,Victoria
Sydney,Elimination Final,121,8.0,56,2017,7.0,8.0,Essendon,S.C.G.,19.0,Sydney,16.0,26.0,New South Wales
West Coast,Elimination Final,76,6.0,78,2017,16.0,12.0,West Coast,Adelaide Oval,10.0,Port Adelaide,18.0,26.0,South Australia
Geelong,Semi-Final,98,9.0,39,2017,8.0,5.0,Sydney,M.C.G.,15.0,Geelong,14.0,23.0,Victoria
Greater Western Sydney,Semi-Final,125,4.0,58,2017,11.0,9.0,West Coast,Sydney Showground,19.0,Greater Western Sydney,13.0,30.0,New South Wales
Adelaide,Preliminary Final,136,15.0,75,2017,10.0,10.0,Geelong,Adelaide Oval,21.0,Adelaide,25.0,31.0,South Australia
Richmond,Preliminary Final,103,13.0,67,2017,13.0,9.0,Greater Western Sydney,M.C.G.,15.0,Richmond,22.0,28.0,Victoria
